epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1908.78,0.82531,0.72021,1.02556,0.84055,0.68634,0.75357,0.59946,0.89509,0.89771,1.09643,0.00999732,0.00333244,0.00999732,0.00333244,0.00999732,0.00333244,0.00999732,0.00333244
2,3657.57,0.79531,0.61894,1.00069,0.82753,0.68528,0.75571,0.59789,0.90934,0.91591,1.12695,0.0193374,0.0064458,0.0193374,0.0064458,0.0193374,0.0064458,0.0193374,0.0064458
3,5347.01,0.82117,0.63747,1.01361,0.81839,0.67315,0.74787,0.5888,0.93711,0.94134,1.16019,0.0280175,0.00933916,0.0280175,0.00933916,0.0280175,0.00933916,0.0280175,0.00933916
4,7007.13,0.79091,0.60439,1.00063,0.82655,0.6847,0.76154,0.60599,0.92366,0.90068,1.148,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,8676.96,0.72469,0.54037,0.96949,0.83904,0.68626,0.76645,0.62377,0.87841,0.88776,1.13164,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,10376.2,0.68162,0.49634,0.95084,0.8567,0.68976,0.77304,0.63322,0.8674,0.85867,1.12314,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,12086.3,0.65117,0.46721,0.9363,0.84676,0.67561,0.76695,0.63402,0.85766,0.89492,1.11681,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,13800.6,0.62849,0.44536,0.92647,0.83992,0.69515,0.77524,0.6446,0.84025,0.86737,1.11334,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,15515.6,0.60871,0.42576,0.9175,0.83286,0.6809,0.76757,0.64167,0.83709,0.90661,1.11022,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,17235.9,0.59381,0.41222,0.91074,0.82597,0.6856,0.76887,0.6441,0.82964,0.91294,1.10831,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,18949.8,0.5808,0.39815,0.90338,0.81206,0.68921,0.76804,0.64462,0.82996,0.91337,1.10981,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,20658.9,0.56713,0.38778,0.90018,0.80836,0.68743,0.76656,0.64477,0.82988,0.92936,1.11773,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,22362,0.55472,0.37688,0.89447,0.80264,0.69048,0.76412,0.64474,0.8273,0.92779,1.11636,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,24059.6,0.54401,0.36737,0.89038,0.81013,0.67738,0.76338,0.64489,0.82293,0.93411,1.1155,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,25761.2,0.53448,0.35805,0.88599,0.81337,0.68342,0.76616,0.64786,0.82162,0.9236,1.11485,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,27461.5,0.52522,0.35032,0.88323,0.8129,0.68688,0.76751,0.64957,0.82198,0.92272,1.1169,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,29164.7,0.51506,0.34197,0.88046,0.82012,0.68064,0.76888,0.65138,0.81839,0.92063,1.11603,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,30863.9,0.50548,0.33403,0.87558,0.82646,0.67793,0.77165,0.65465,0.81489,0.91517,1.11534,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,32572.4,0.49517,0.3263,0.87194,0.8242,0.68033,0.77268,0.65622,0.81222,0.91681,1.11433,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,34276.7,0.48699,0.31896,0.86898,0.82772,0.67948,0.77385,0.65757,0.80995,0.91568,1.11262,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,36029.6,0.43982,0.27681,0.84552,0.83102,0.675,0.77372,0.65826,0.80811,0.91805,1.11114,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,37729.5,0.42861,0.26779,0.84161,0.83935,0.66832,0.77462,0.66004,0.80686,0.92021,1.11038,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,39444.4,0.41644,0.25835,0.83641,0.84138,0.66802,0.77576,0.66197,0.80525,0.92116,1.10917,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
