epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,931.086,0.93112,0.86355,1.04827,0.81459,0.66807,0.72185,0.56405,0.93924,0.98719,1.08906,0.00999464,0.00333155,0.00999464,0.00333155,0.00999464,0.00333155,0.00999464,0.00333155
2,1816.25,0.85955,0.68491,0.9992,0.8018,0.67006,0.72621,0.55919,0.98046,0.97958,1.12164,0.0190049,0.00633497,0.0190049,0.00633497,0.0190049,0.00633497,0.0190049,0.00633497
3,2654.09,0.87637,0.69128,1.00391,0.79179,0.64807,0.71429,0.5402,1.01382,1.0326,1.14753,0.0270252,0.00900839,0.0270252,0.00900839,0.0270252,0.00900839,0.0270252,0.00900839
4,3478.52,0.86002,0.66913,0.99843,0.83585,0.64466,0.73843,0.57868,0.94924,0.93349,1.11696,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,4299.01,0.79099,0.60121,0.96857,0.8308,0.65647,0.73674,0.58864,0.92273,0.95321,1.10504,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,5123.1,0.74664,0.55697,0.94902,0.83583,0.66887,0.74079,0.60037,0.89237,0.91711,1.09479,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,5946.68,0.71393,0.52534,0.9366,0.83172,0.65156,0.72954,0.59395,0.89227,0.96606,1.10218,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,6767.77,0.68998,0.5026,0.92627,0.83983,0.65571,0.74606,0.60949,0.88612,0.92896,1.09834,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,7594.14,0.66746,0.48161,0.91763,0.82609,0.65619,0.74508,0.61119,0.86014,0.93804,1.08138,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,8392.19,0.64991,0.46543,0.91104,0.82958,0.65958,0.74807,0.61455,0.87946,0.93001,1.0983,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,9249.81,0.59789,0.41663,0.8897,0.83324,0.66183,0.74875,0.61754,0.86605,0.94637,1.08222,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,10084.3,0.57583,0.3967,0.8811,0.85906,0.64498,0.7512,0.6194,0.86479,0.93742,1.07736,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,10928.8,0.5544,0.37856,0.87248,0.83544,0.65984,0.75128,0.61994,0.86481,0.93917,1.07985,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,11723.4,0.53538,0.36307,0.86503,0.82832,0.6612,0.75287,0.62384,0.85673,0.9326,1.07682,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,12520.8,0.5186,0.34965,0.85933,0.82209,0.66535,0.75376,0.62589,0.85084,0.93707,1.07574,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,13318.2,0.50099,0.33462,0.85298,0.81634,0.66803,0.75622,0.62855,0.85078,0.92843,1.07536,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,14113.9,0.4822,0.32069,0.84639,0.81875,0.66617,0.75784,0.63008,0.85018,0.9234,1.07502,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,14908.6,0.46502,0.30743,0.84142,0.82761,0.66302,0.75949,0.63213,0.84825,0.92017,1.07331,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,15704.7,0.44736,0.2937,0.83591,0.83374,0.66041,0.76011,0.63278,0.84921,0.92096,1.07439,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,16499.3,0.42986,0.28132,0.8308,0.83232,0.66073,0.76021,0.63322,0.85023,0.92558,1.07505,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
